Vernier Format 2
Untitled.cmbl 7/28/2014 14:06:02 .
Latest
Wavelength	Intensity
λ	I
nm	rel

380	0.001
382	0.001
384	0.00116216730989
386	0.001
388	0.001
390	0.00119862674155
392	0.0013379194051
394	0.00108351144438
396	0.00113819560384
398	0.00127933690814
400	0.00211062668384
402	0.00212627375108
404	0.00217450877111
406	0.00217429006516
408	0.00208793114615
410	0.001
412	0.001
414	0.001
416	0.001
418	0.001
420	0.001
422	0.00112824486716
424	0.00103431181605
426	0.00102828013637
428	0.001
430	0.00108547826308
432	0.0012734318477
434	0.00131209905829
436	0.00142365827358
438	0.00165387735707
440	0.00155457795278
442	0.00100697050371
444	0.0010788249981
446	0.0011882378256
448	0.00143008439133
450	0.00156287803514
452	0.00146191109396
454	0.00217885756611
456	0.00203373811583
458	0.00169379848174
460	0.00254818513972
462	0.00290488609027
464	0.0022424012347
466	0.00219529888124
468	0.0023949789413
470	0.00146791284545
472	0.00102827629943
474	0.001
476	0.00161749696651
478	0.00140622318934
480	0.00193130008942
482	0.00212355028656
484	0.00233457466222
486	0.00160536300736
488	0.00163397511633
490	0.00112792333106
492	0.00119693081126
494	0.001
496	0.001
498	0.001
500	0.00104508596141
502	0.001
504	0.001
506	0.001
508	0.00120346743307
510	0.001
512	0.00102795092638
514	0.00103701686323
516	0.001
518	0.001
520	0.001
522	0.001
524	0.001
526	0.001
528	0.00294533364397
530	0.00280982037259
532	0.00307852479542
534	0.00311270431356
536	0.00307795692736
538	0.00105491314842
540	0.00119550269983
542	0.00126878914261
544	0.00133820103696
546	0.00136227020145
548	0.00606920423881
550	0.00594274616083
552	0.00566590280739
554	0.00555858955694
556	0.00569935177093
558	0.001
560	0.001
562	0.001
564	0.001
566	0.001
568	0.001
570	0.001
572	0.001
574	0.00141976760997
576	0.0015064542042
578	0.00137184875433
580	0.00134510907518
582	0.00102733701496
584	0.001
586	0.00104651330546
588	0.00121753905014
590	0.00124257512511
592	0.00109752857681
594	0.001
596	0.00328073263575
598	0.00306360828277
600	0.00310440269642
602	0.00317833911791
604	0.00317431799813
606	0.001
608	0.001
610	0.001
612	0.001
614	0.001
616	0.00107849885766
618	0.001
620	0.00109980542078
622	0.00111220336184
624	0.001
626	0.001
628	0.001
630	0.001
632	0.001
634	0.00113921162724
636	0.001
638	0.001
640	0.001
642	0.001
644	0.001
646	0.001
648	0.001
650	0.001
652	0.001
654	0.001
656	0.001
658	0.001
660	0.001
662	0.001
664	0.001
666	0.001
668	0.001
670	0.001
672	0.00136962332544
674	0.0013202878692
676	0.00120120977384
678	0.0011959339726
680	0.001
682	0.001
684	0.001
686	0.00270455374933
688	0.00269681079158
690	0.00269922423084
692	0.00269842998294
694	0.00242480045577
696	0.001
698	0.001
700	0.001
702	0.001
704	0.001
706	0.001
708	0.001
710	0.001
712	0.001
714	0.001
716	0.001
718	0.001
720	0.001
722	0.001
724	0.001
726	0.001
728	0.001
730	0.001
732	0.001
734	0.001
736	0.001
738	0.001
740	0.00145369619182
742	0.00144035129239
744	0.00252147999309
746	0.00250647753284
748	0.00251435478371
750	0.00224136756135
752	0.00184051793865
754	0.001
756	0.001
758	0.001
760	0.001
762	0.001
764	0.001
766	0.001
768	0.001
770	0.00135541774414
772	0.00144368176183
774	0.00113309246519
776	0.00107228453935
778	0.0011149245242
780	0.001
782	0.001
784	0.001
786	0.001
788	0.001
790	0.001
792	0.001
794	0.001
796	0.001
798	0.001
800	0.001
802	0.001
804	0.001
806	0.001
808	0.001
810	0.001
812	0.001
814	0.00117780878615
816	0.00132600700219
818	0.00124713856985
820	0.0015824920664
822	0.00123063257476
824	0.001
826	0.001
828	0.001
830	0.001
832	0.001
834	0.001
836	0.001
838	0.001
840	0.001
842	0.001
844	0.001
846	0.001
848	0.001
850	0.001
852	0.001
854	0.001
856	0.001
858	0.001
860	0.001
862	0.001
864	0.001
866	0.001
868	0.001
870	0.001
872	0.001
874	0.001
876	0.001
878	0.001
880	0.001
882	0.001
884	0.001
886	0.001
888	0.001
890	0.001
892	0.001
894	0.001
896	0.001
898	0.001
900	0.001
902	0.001
904	0.001
906	0.001
908	0.001
910	0.001
912	0.001
914	0.001
916	0.001
918	0.001
920	0.001
922	0.001
924	0.001
926	0.001
928	0.001
930	0.001
932	0.001
934	0.001
936	0.001
938	0.00122553327306
940	0.00116244894175
942	0.00139845841581
944	0.00147078595088
946	0.00122187666318
948	0.001
950	0.001
